Kaizen_title,background,baseline,issue
PIM - Improvement Quality sket shoes HRG04,issue mix up,10/600 ketemu mix up,"Issue mix up antara R/L karena tidak ada tanda yang bisa di lihat oleh operator saat proses triming,Issue shoes mampet karena pin broken 1/2 "
FA - Ramp Up Schedule Toy GRP13,Ramp Up schedule dari 1700 ke 2000,CT tidak balance di beberapa proses,"Tidak balance di proses date code torso,pasang costume,pasang skirt CT nya 20 detik,dengan proses pasang shoes RL CT nya 8 detik,Tidak balance di proses date code insert,press j hook CT nya 10 detik,dengan proses pasang costume baby,rubberband 1 pc to insert CT nya 19 detik,Tidak balance di proses assy acc bear,sendok,tablet,bottle 2 pc CT nya 20 detik,dengan proses selot acc to blister 3 sisi CT nya 10 detik"
TP- REDUCE DOWNTIME PAINT PROBLEM MC MANUAL TAMPO,DOWNTIME PAINT PROBLEM DI MC MANUAL TAMPO TINGGI,DOWNTIME PAINT PROBLEM DI WE 8/26 135 HOURS,"Ink habis tetapi operator tidak mengetahui sehingga menyebabkan issue quality
,Ink cup after repair belum di laping dan ink cup after laping tercampur dalam satu tempat 
,Metode untuk penambahan thinner melalui tutup ink cup kurang efektif karena tidak mengetahui visco dari ink
,5S lebih dari 10menit sebelum jam kepulangan karena cleaning reject
,Belum ada standard untuk penambahan thinner sehingga operator satu dengan operator lainnya frekuensi penmabahan thinner berbeda
,Standard visco yang sudah ada belum maksimal 
"
Improve Flow Grade Progression,Beberapa recorder belum memahami prosedur progress  & Review Matrik,"Beberapa recorder belum memahami prosedur progress
,Tidak adanya catatan review yang tertulis pada matrik setiap ada perubahan.
,Penamaan materi modul yang tidak standar pada matrik dan modular HR
,Belum adanya prosedur program fast track 
,Proses penilaian Leadership masih manual menggunakan kertas
","Tidak adanya catatan review yang tertulis pada matrik setiap ada perubahan,Penamaan materi modul yang tidak standar pada matrik dan modular HR
,Beberapa recorder belum memahami prosedur progress,Belum adanya prosedur program fast track ,Proses penilaian Leadership masih manual menggunakan kertas"
Balancing Assortment Line to Palletizer Machine Process in Packout Area West,"Unstable actual cycle time of Assortment line compared to Palletizer Machine ,A&P OEE and schedule adherence will be calculated real time based on Palletizer Machine performance ,Manual handling at finished good",Chart will be shown during the Kaizen ,NULL
PIM - ADDING CABLE GLAND FOR CABLE PANEL ROBOT,"CABLE DIRECT CONTACT TO METAL PANEL BOX,LIFETIME CABLE DECREASED DUE TO ABRASION WITH PANEL METAL BOX",0/30 NOT INSTALLED CABLE GLAND,SHORT CABLE TO BODY PANEL
PIM - Manage Regrind VUM,Belum ada pembagian job proses regrind VUM sehingga terjadi penumpukan,"Data inv regrind VUM, kebutuhan regrind dan Inv before regrind","Belum ada pembagian job untuk regrind VUM setiap shift, sehingga terjadi penumpukan part reject ,Masih sering terjadi mampet nozzle karena masih tercampur metal di material regrind dengan methode Regrind --> Metal detector --> saring debu)
,Belum  ada job desk yang pasti untuk  saring debu dan metal detector
,Belum ada data inventory after regrind material VUM dengan kebutuhan per minggu
"
DC - Implementasi FIFO di staging DC,FIFO di area staging DC tidak berjalan dengan lancar,"Staging DC ada 2 baris, sedangkan MH ESP selalu mengambil part dari area yang terdekat","Layout bin ID dengan premium karena excess transport  
,Layout terlalu sempit sehingga MH kesulitan untuk manufer saat handling bin 
,Ketika mengambil bin, MH tidak pernah check tanggal LKP (area Gudang) 
,Belum ada WI untuk MH staging 
,Beberapa part overrun berada digudang sehingga tidak FIFO
"
tes,NULL,w,test
SP - Segregasi penempatan tooling diarea spray painting,Penempatan tooling tidak rapih,Box penempatan tooling berisikan bermacam benda pribadi,"Box penyimpanan tas melebihi kapasitas saat schedule sedang peak
Root cause:
Box penyimpan tas dan tooling terdapat sampah polybag dan tooling-tooling ,Box penyimpanan tooling tidak rapih dan bersih
Root cause:
Banyak terdapat peralatan/tooling-tooling yang tidak digunakan ,Operator head kesulitan untuk preparation tooling saat running
Root cause:
Tooling mask tidak diprepare oleh MH toolkeep ke area line head ,Dibutuhkan waktu lama untuk mengambil/mengembalikan tooling mask dari area spray head & acc ke toolkeep
Root cause:
Jarak area line head/WS & acc line 6-7 terlalu jauh dari tool keep"
PIM - PP Kaizen Toy 11030-03834( bracelet  hmj46),"Ct triming Lama 
","2500/jam
",Ct lama saat proses triming yg akan di triming 16 
TP - Improve akurasi staging tampo,Akurasi tampo <95%,"Row Labels	Average of %
10-Sep	93%
17-Sep	82%
24-Sep	69%
1-Oct	90%
8-Oct	70%
Grand Total	82%","terdapat part number berbeda dalam satu tumpuk 
,terdapat kemungkinan salah scan antara LKP dan tracy karena letak barcode berdekatan
,Terdapat MH Line yang mengambil inventory langsung ke staging tampo yg seharusnya tidak dilakukan oleh MH line melainkan dilakukan oleh MH P6. sehingga terdapat flow proses yg terlewat
"
Automate Batch Book Number,"Penginputan Batch Book Number harus secara bergantian karena manual menggunakan Excel. Ketika Excel sedang di buka oleh 1 orang, orang yang lain tidak bisa menggunakan batch book tersebut.",Input Batch Book Number secara manual (Bergantian).,"Batch book number masih manual menggunakan file excel
"
INDEPENDENT DEMAND AUTO SCHEDULING,"40 % Independent Demand part number increase compare with 2021,Received new independent demand sewing part request from MCA/MGY",Increase working time to review and update independent demand schedule in system if using current flow,"Received new independent demand sewing part request from MCA/MGY,40 % Independent Demand part number increase compare with 2021"
RC - Improve Quality Toy CFF12 Roto,Reject neck ...,"reject 66,666 PPM",Reject neck ... karena mold bagian dalam kotor akibat bekas sisa kotoran dari plastisol (plate Gosong)
Changes over PIM,NULL,NULL,NULL
Installation tackle crane frame,Tabung gass assist rusak dan tidak bisa difungsikan sehingga mempengaruhi kinerja mesin robot,2/5 tabung gas rusak dan tidak di perbaiki karena instalasi yang tidak mendukung,"Tabung gas assist rusak dan tidak bisa difungsikan karena instalasi yang tidak memungkinkan tabung untuk berpindah tempat / diperbaiki sehingga mempengaruhi kinerja mesin robot PIM 
"
SP - Improvement quality & productivity toy GXL17- 6A09 Tennis Racket,out put tidak tercapai sesuai FC,act out put /Jam 140/Jam,"Perbedaan antara Output per jam pada SOP dan Flow chart 
,CT tinggi 25s di proses warna biru karena lama saat  meletakan part dan harus memutar tooling setelah proses spray tooling
,Reject scratch 4/10 = 400,000PPM saat meletakan part setelah proses spray
,Excess Motion saat mengambil part yang akan di spray proses warna putih (Badan operator melintir setiap mengambil part 140x perjam) 
"
PIM - Reduce defect flash part no 11024-34002,part reject karena conector ketutup sehingga output per jam tidak tercapai,"120/480 pcs part reject  = 250,000 PPM","Part banyak reject karena flash dan conector tertutup 
Connector jatuh saat proses karena ada beda dimensi 


"
TP - Adding Space for inventory Premium by re layout area,"Running with four of Pack Premium,Run with four Premium in the same time",No space for new inventory,NULL
PO - Kaizen Ramp Up Schedule Toy HBV69,Ramp Up Schedule,CT tidak balance di beberapa proses,"CT tidak balance di proses date code insert dan proses micro tach skirt
,CT tidak balance di proses micro tach dress 2 point dan proses micro tach top 5 points
,CT tidak balance di proses TTI dan proses attach sunglasses
"
DC Pp kaizen hjy99 hpk05 hny60,Pp kaizen memastikan ps berjalan lancar,Aprove sample tidak sesuai,"Hjy99-40114 hasil potong tidak sesuai selisih 1/8 dg ssmple-Ada perubahan patern dari eng aprove sample belum diganti,Hny60 operator kesulitan saat akan memotong wo tidak ada panduann panas api laser- Tidak ada keterangan speed berapa dan panas api laser berapa,Hpk05-4013 rejeck  agak hitam l
6/125-Laser convayor ada bagian yg tidak reta sehingga hadilnya tifak maximal,Hny60 jumlah potong tidak sama antar actual potong dengan wo
-Actual potong 125 wo 126,Hjy99-40114 hasil cuting gosong 3/7-Speed lambst 800 dan api besar 70.000 standar di wo"
FA - PP kaizen HPW57,PP Kaizen untuk memastikan PS dapat berjalan lancar,"Excess motion, CT tidak balance di beberapa proses"," potensi come off shoes dan missing harnet.-Shoes masuk pralon dengan  urutan proses join head, attach shoes dan attach harnet., Kesulitan pada proses Slot Dool on tray to Sleve IC.-Tangan opt menahan sleve sehingga kesulitan saat memasukkan doll,Excess motion pada saat doll to MC -doll baris ke 3, area sempit.,Kesulitan saat proses fold dan assy partisi-partisi tebal dan keras,CT tidak balance di proses 9904 dan 9905 dan hours tidak bisa sesuai Tack Time.-proses 9904 fold, creasing  & assy tray brown papper, fold, creasing ,attach handle , assy pink  tray sleve insert. Proses 9905 , Slot insert to tray, tie down torso w ribbon, take & date code sleve IC."
PO - Kaizen New Line Toy HHB68 ,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses date code IC, Attach r/b 4 pc CT 29s TT 27s dan proses tack head, merapikan rambut dan full back CT 24s TT 27s,CT tidak balance di proses attach pvc strap stroler to insert, r/b stroler bawah 1x CT 25s TT 27s dan proses r/b stroler atas 1x, release polybag head, spot welding & TTI CT 25s TT 27 s ,CT tidak balance di proses tack towel 3x, attach pvc strap to insert CT 30s TT 27s dan proses slot acc inner blister to insert CT 25s TT27s"
PO - Kaizen New Line Toy GRB38,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses dressing to torso CT 8s TT 10s dan proses proses join head dan r/b back pack hair CT 12s TT 10s,CT tidak balance di proses attach support paper to torso to insert CT 12s TT 10s dan proses lock hand paper support to insert, join head dengan menggunakan 2 operator CT 8s TT 10s,CT tidak balance di proses glue insert, fold insert, press insert CT 8s TT 10s dan proses TTI, lock side insert, lock lower insert press insert,Potensi kaki operator kejatuhan oven telur karena besi penahan pada oven telur tidak ada 1"
SP - Segregasi tooling botol cat dan cucian paint mask line acc,Jarak penempatan botol terlalu jauh,"Line terlihat tidak rapih,Down time 1 menit untuk bolak-balik mengambil cat","Penempatan cucian paint mask kurang proper ,Jarak mengambil cat terlalu jauh saat proses spray"
Human Resource - Simplifikasi Proses Distribusi Kartu Kepesertaan BPJS Ketenagakerjaan Karyawan Baru,Proses distribusi kartu KPJ dari HR ke Karyawan memerlukan waktu yang lama,"- Waktu yang dibutuhkan untuk proses distribusi kartu sampai ke karyawan 3 minggu,- Adanya kemungkinkan kartu hilang/tidak sampai ke Karyawan","distribusi kartu BPJS ketenagakerjaan dibagikan melalui leader masing-masing karyawan baru dan membutuhkan waktu sampai 3 minggu untuk dibagikan kepada karyawan baru 
"
PL - Implementation QR code Subcont part,Terjadi penumpukan material incoming dari subcont di receiving karena proses labeling QR code harus diganti dari QR code MLM menjadi QR code PTMI,Memerlukan 1 orang labeling untuk mengganti QR code MLM,Penempelan dan Create QR Label untuk data Part dari MLM dilakukan di PTMI karena data yang ada di QR code MLM tidak sama dengan data yang ada di QR code PTMI 
SP - PP Kaizen Toy HHB67-6019 PNT SLIDE,Memastikan saat PS berjalan lancar,"Reject scratch 1000,000PPM,Reject gate remnand 3/10","Reject scratch 1000,000PPM diproses ke tiga karna paint mask tajam,Reject gate remnant 3/10 proses PIM,Reject smear 5/10 bagian sebelah kiri karna part bervariasi ,Paint mask proses tengah tidak proper saat dipegang ketika proses spray karena pegangan part untuk menahan paint mask terlalu kecil,Salah tujuan pada LKP molding karena ada perubahan proses yang tidak dipainted tetapi data base belum dirubah,Standar packing SOP melebihi kapsitas box berpotensi scratch paint, dan tidak bisa ditumpuk"
Improvement Project - A3 Nest Combination for Accessories Part DIJ,"Un-reusable DIJ Accessories Nest, so it will be scraped when EOT","Nest Accessories DIJ very specifics for one kind of part only, if its already EOT we not yet can reuse the nest","Un-reusable DIJ Accessories Nest, so it will be scraped when EOT"
Improvement 5S dan productivity,NULL,NULL,NULL
VUM - Improvement 5S dan productivity di Sand Blasting,Excess motion proses pembuangan limbah pasir ke dalam drum,Memerlukan waktu lama saat membuang limbah pasir ke dalam drum,Membutuhkan waktu lama saat proses membuang limbah pasir ke dalam drum
DIJ - Standard number cavity on nest DIJ,Terdapat nest DIJ yang mengalami patah pada bagian locking part sehingga menimbulkan missposition dan bahkan tidak dapat di gunakan,A baseline is a fixed point of reference that is used for comparison purposes.,NULL
Create Cafeteria Menu with online service  ,To give specific and excellent service based on individual menu preferences,Order menu for one week ahead with limited number of menu variation,NULL
Simplify Sorting CV NonStaff,Many candidates (almost 100.000 emails) apply via email and it takes time to sorting the CV,"At the moment, recruitment team will sorting each CV received by recruitment emails. Check each documents uploaded by candidates and type it in excel as database. Each CV will take around 5 minutes to open, check documents and type in excel. Recruitment e,Documents will be checking twice, first from email and the second when they come for test",NULL
Simplify Sorting CV NonStaff,Many candidates (almost 100.000 emails) apply via email and it takes time to sorting the CV,"At the moment, recruitment team will sorting each CV received by recruitment emails. Check each documents uploaded by candidates and type it in excel as database. Each CV will take around 5 minutes to open, check documents and type in excel. Recruitment e,Documents will be checking twice, first from email and the second when they come for test",xxx
Human Resources - Handling Application Letter for PDL,"Takes too much time to Entry The applicant data,Takes too much time to input applicant data",1 applicant data takes 5 minutes to entry,xxx
Barbell - Improvement Productivity dan 5S ,NULL,NULL,NULL
BB - Improvement Productivity dan 5S,"- Down time tinggi saat mengganti foil uk 15mm di part no 0001-M3975
- 5S kurang bagus karena banyak wheel dan barbell jatuh di bawah mesin",Down time mencapai 40 menit,Downtime tinggi saat setting Foil karena hasil adhesionnya fail ( 6 toy ) - sampai 40 menit dengan uk foil 15mm
FA - new line toy DJR88,"New line toy DJR88
",CT tidak balance di beberapa proses,"Broken individual carton-Individual carton dari printek lembab
,Proses dressing kelly dan pasang shoes kelly Ct 20s-Proses dressing stacie dan pasang shoes CT 28s,Proses pin waist body dan arm ken ct 24s-Proses pasang flower barbie dan stacei sm pasang r/b leg ken Ct 27s,Proses lock insert atas dan bawah Ct 21s-Proses assy cake, pasang cake to insert ct 27s"
SP - Pp kaizen toy HNF77 boot dan HNP 87 pet drink,Memastikan ps berjalan lancar,"Downtime diawal runing 15 menit
Reject smear 500.000ppm ditoy HNP87","Downtime 15 menit diawal runing Toy HNF77 Boot
-Perbedaan warna cat dengan approve sample,CT tinggi dan potensi kontaminasi-Kesulitan memasukkan jig ke dalam molded,sisa cat menempel pada jig,Smear dan under si toy HNP87 Pet drink-Pantmask longgar  dan kurang press fit bagian tepi"
SP - PP Kaizen toy HLC32 & 33 Upper Torso,Memastikan saat PS berjalan lancar,Down time diawal shift memisahkan front dan rear 5 menit,"Down time saat operator memilah part front yang akan di proses 5 menit dalam 1 box
Root Cause:
Standard packing dari supplier (Tampo) part front dan rear digabungkan menjadi satu,Over processing diproses tampo saat proses packing
Root Cause:
Part front dan rear digabungkan setelah masing-masing proses selesai"
PA - PP kaizen HPB15 improvment quality ,Saat pp issue quality dan ct belum dapat,Ct 25 tt 12.issue quality gap,"issue gap bag 10/10 karena part banding dan di sisi mujung kurang plastik(Tipis),Issue Ct lama di proses glue ct 25 tt 12 karena ada 7 titik yang akan di glue dan posisi lef jointnya lebar"
BBD - PP Kaizen toy HJX04 Painted Head,Memastikan saat PS berjalan lancar,"PP fail di tanggal 13 februari 2023 ,Reject GAP base iris vs lower 1.000.000PPM","Reject GAP base iris vs lower iris 1.000.000PPM
Root Cause:
Art work pada plate tidak sesuai dengan approve sample,Misposition deco teeth 200.000PPM 
Root Cause:
Settingan mesin tidak proper,Warna eyebrow tidak sesuai dengan approve sample (lebih gelap)
Root Cause:
Warna formulasi cat tidak sesuai dengan approve sample,Botol cat tidak tertutup rapat potensi tumpah dan cat mudah kering
Root Cause:
Ketidak disiplinan operator saat menggunakan cat"
Eliminate Abnormality Reject,Abnormality reject early shift,Reject early shift up to 19.3 K pcs,"abnormality every early shift,Abnormality reject karena operator tidak reset counter"
Rapid Machine Standarization,Ketidakseragaman kondisi mesin rapid,13 mesin rapid memiliki kondisi yang tidak seragam dan tidak standard,"Tombol switch on-off tidak sama bentuknya
,Stick tidak seragam
,Tidak ada autonomous Maintenance di mesin rapid
,Belum ada contoh mesin rapid yang standard sebagai raw model
,Belum ada tempat penyimpanan dokumen & LKP yg proper
,Belum ada alat 5S yg proper
"
Grade Progression Improvement,Beberapa karyawan yang baru dinyatakan permanen belum memahami Grade Progression,"Januari- Maret 2022 terdapat 159 karyawan yang harus mendapatkan pengenalan terkait Grade Progression secara langsung.
,Dalam satu bulan rata-rata terdapat 72 karyawan yang melakukan evaluasi.
,Dalam satu bulan rata-rata terdapat 35 pertanyaan mengenai Grade Progression oleh User maupun Recorder terkait.
",Pekerja permanen baru belum memahami GP karena belum adanya pengenalan dan media pendukung sosialisasi GP
PO - Kaizen New Line Toy GDJ37,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses fold insert 4x, attach r/b besar 2, attach r/b kecil 3 ct 18s tt 17s dan proses tack head, merapikan rambut dan full back ct 15s,CT tidak balance di proses attach dress, attach top, attach shoes, attach r/b shoes 2x ct 21s tt 17s dan proses join head ct 10s,CT tidak balance di proses pin waist, pin leg ct 10s tt 17s dan proses assy. pump bottle to tab in kemudian to insert ct 22s,CT tidak balance di proses TTI, release polybag ct 7s tt 17s dan proses fold insert 4x, date code IC, join doll to IC ct 20s,CT tidak balance di proses tack towel & sponge tool ct 15s tt 17s dan proses assy puppy 3pc to inner lalu slot to insert ct 20s "
ESP - Improvement DSA,Minus DSA karena prepation,WSA di WE : 03/12/22 - 53%,Minus DSA dan WSA karena down time
PO - Kaizen PO New Line Toy HCN18,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses date code torso, attach top, attach pants ct 17s tt 13s dan proses attach sock ct 8s,CT tidak balance di proses attach shoes ct 16s tt 13s dan proses join head ct 10s,Terjadi penumpukan di proses TTI ct 15s tt 13s, proses TTI kesulitan saat memposisikan acc ball terlalu ke depan ,Penumpukan blister after proses spot tab in di proses spot welding, ct proses spot welding di bawah TT ct 8s"
PD - Optimize Staging Rack on Product Development Lab west,Masih ada area pada staging yang kosong tapi tidak bisa digunakan karena saat ini staging di kelompokan berdasarkan PN,"Waste pada Area staging yang kosong sedangkan banyak bin di lantai, tidak bisa digunakan karena beda Parent toy.","Penyusunan Rak masih sesuai dengan urutan Car,Banyak terdapat rak yang kosong sedangkan bin-bin banyak yang di lantai,Waste pada Area staging yang kosong sedangkan banyak bin di lantai, tidak bisa digunakan karena beda Parent toy,Tidak ada Papan Tulis untuk information detail rak"
PD - Reduce Risk of no packaging to send the ES sample - Product Development,"we had an out of stock packaging in last year, so we had to posponed all shipement of the sample until the packaging arrived","No Min Max, so we don't have reminder to order",packaging out of stock
Improve  Work Order for Torso Assembly,No standard drawing for drafter to create tooling especially for TA process,"Drafter didn't comprehend the WO made by user,Drafter is confused because of numerous standard nest on TA area",Drafter not understand 
PIM - Improve safety mold HNP64-S503,"Operator kesulitan dan merasa sakit saat mengambil part di mold
Karena part keras ,berpangatuh ke ct jd lama dan dan berpotensi black spot karena material pvc 90, berpotensi scraft tinggi",Ct 32/24,"Part keras saat di ambil dr mold, operator kesulitan saat mengambil part dr mold dan merasa kesakitan saat mengambil part-Team me memasang mtc ke mold dan merubah mds of,Ct proses lama fc 24 actual32 karena part susah di keluarin"
TP - PP kaizen HNP98 Shoe,PP KAIZEN,"Under spray 200.000PPM di bagian tengah,Down time 10s saat load unload part pada jig","Kesulitan saat memasang & melepas sepatu ke jig, karena terhambat  gerigi utk locking dan berptensi tangan lecet / luka,under spray dibagian tengah  karena posisi tali sepatu menumpuk ,potensi missing proses karena  insert & comeout jig  dilakukan dimeja mesin yang sama tanpa ada pemisah & belum ada layout yang jelas"
TP - PP KAIZEN HAUSE BASE HLX68 11030-81565,Memastikan saat PS date berjalan lancar,"Reject hairy diawal running 1.000.000PPM ,Over print 1.000.000PPM ,Under print pada bagian samping 1.000.000PPM diawal running","Hairy cat grey & white di proses 3,over print di proses samping 1 & 2 karena art work nya lebh besar sehingga menimpa cat pink ,Under print & misposition bagian samping pink  karena pasang di nest kurang pas, seret ,smear dibagian dalam dari proses spray, karena mask  terbuka kurang lebar"
PL - Akurasi Schedule Planning & Segregrasi Approve Sample,Tidak ada templete Schedule Independent Demand ,"1 x schedule Independent Demand terlewat,Downtime 15 menit dalam mencari Approve Sample","Schedule Independent Demand (DD) terlewat (Pada template planner Deco tidak ketarik) Root causenya schedule independent demand tidak ada template data basenya dan schedule diinformasikan by lisan antara PO dan Primary
,Kesulitan saat smencari approve sample di area DIJ sehingga dibutuhkan waktu lama Root causenya belim adanya data lokator yang proper,Ditemukan 10% dari 300 data toy tidak terupdate di schedule planner root causenya Penulisan didata lokator terdapat perbedaan (pengetikkan  _ / , pada proses pengerjaan copy/paste dari AS400),Banyak ditemukan App Sample yang sudah EOT
Pengerjaan scrap sample dilakukan dengan system manual Root causenya tidak ada informasi toy EOT dan belum ada system/data informasi untuk team produksi"
Recruitment Process Flow (Staff),Recruitment team need several adjustment in order to save time work for staff recruitment process,"Recruitment team propose to re arrange the stages of recruitment process for staff,Recruitment team will change the offline Psychology assessment which need 3 hours  to online. This online test also give the flexibility for the candidates to do the test in their spare time.","After sorting CV from Job Portal, Recruitment team will do Psychological Assessment and Interview
"
Obsolescence Tracking,"To have an accurate number of Obsolescence report,Manual priocess to define the actual inactive and excess inventory","Deal with a lot part # to define as obsolete part,We can not rely on the report inactive and excess inventory, caused some opposite status happens,We defined status of incative and excess inventory manually, and takes time caused needs multiple checks","Deal with a lot part # to define as obsolete number,We can not rely on the report inactive and excess inventory, caused some opposite status happens,We defined status of inactive and excess inventory manually, and takes time caused needs multiple checks"
RC - Standarisasi kran dispenser di mesin LOR,Kran dispenser di mesin lor tidak standar,3/6,MH kesulitan saat menguras material plastisol membutuhkan waktu lama karena harus posisi kran ada dalam cover
IC - Dirty PH at Staging ,"Finding PH Dirty , tidak FIFO",PH dirty finding pada LBO PO,NULL
PIM - Improve Quality di toy 11028-06640,Scratch part ,"Standar pakcing 50,tanpa layer","Mesin kotor ,banyak resin tumpah - MH isi material terlalu penuh,Part scratch  5/50 - Standar packing 50 per box"
PO - Kaizen New Line Toy GJB58,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses date code torso, attach top, attach dress ct 15s tt 13s dan proses attach shoes ct 8s,CT tidak balance di proses creasing insert 5x CT 9s dan proses attach r/b 3 pc ct 14s,CT tidak balance di proses assy acc ct 10s tt 13s dan proses creasing blister acc, slot blister acc ct 15s ,CT tidak balance di proses attach boat, attach waist strap boat 2 pc menggunakan 3 opeartor ct 26s, 28s & 25s tt 13s dan proses attach stick, lock insert, celotape ct17s,Reject loose micro tach tent 20/263 = 70.045 PPM, proses mecro tach tent pada saat melepas micro tach pin tidak di tahan dengan jari"
SW - PP Kaizen Toy HBY10 at Sewing,PP Kaizen untuk memastikan PS berjlan lancar,CT tidak balance di beberapa proses,"Ada proses ironing arm hole sebelum proses tops tick arm hole,Ada proses ironing back seam vest untuk membuka seam,Proses over lock di lakukan dengan seam terbuka di kedua sisi pant,Proses joint sleeve sering terbalik, face up dan face down nya tidak ada tanda ,Proses join linning to vest di lakukan dengan menggunakan benang di ujung  untuk menjadikan runcing hasilnya ct 12.56s "
No Shortage Box FAR besih to Prod,Box Cucian Shortage to Prod FAR.,Prod FAR kekurangan Box FAR yang bersih,NULL
TP - Improvement quality toy HGP29 Upper Torso,Over reject hairy,"Reject hairy 1000,000ppm deco white dan magenta","Cat berserabut 700,000ppm setelah proses tampo deco white dan magenta root causenya cat white dan magenta kental,Cat base white bonyok 300,000ppm root causenya cat menggunakan 2 art work dan 2x pad ,Deco pada bagian lengan kanan misposition root causenya art work tidak center"
Ramp up schedule Toy HMK51,Ramp up schedule dari 600 ke 850,CT tidak balance di beberapa proses ,"Tidak balance di proses rubberband insert 2pc,creasing insert, tag head elsa,merapikan rambut atas bawah, dengan proses selot tab in ke insert p-Proses rubberband insert 2pc,creasing insert, tag head Elsa, merapikan rambut atas bawah CT nya 40 detik
Proses selot tab in ke insert CTnya 22 detik ,Tidak balance di proses Operator date code torso,dressing with arm support,pasang shoes kanan kiri, lepas velcrow, dengan proses pasang shoes RL anna,rubberband shoes RL anna-Proses date code torso, dressing with arm support, pasang shoes elsa p RL, lepas velcrow, CT nya 36 detik
Proses pasang shoes RL anna, rubberband shoes RL anna Ct nya 30 detik ,Tidak balance di proses pilin tendril, rubberband tendril, dengan proses TTI, kunci insert kanan dan kiri, atas dan bawah -Proses pilin tendril, rubberband tendril CTnya 20 detik
TTI, kunci kanan dan kiri, atas bawah 28 detik (Ct TTI 24 detik)"
FA - new line toy HKB 09 ,New line ,A05,"CT tidak balance diproses groming dengan costum -1 operator proses basic groming,belah partline,polibag head CT 15s
1 operator proses fold pantas to polibag,fold evening dress to polibag ,fold jaket to polibag CT 32s,CT tidak balance diproses datecod IC dengan asesories -1 operator proses datecode IC,bikin corner,solatif 4 sisi CT 30s
1 operatr fold blue bracelet,orange bracelet,silver bracelet to polibag ,solatif CT 20s,CT tidak balance diproses lock bottom dengan sell blister-1 operator proses pasang flyer to IC ,pasang pack filler to IC,lock bottom side IC CT 30s
1 operator proses pasang asesories blister to nest,pasang IC to nest on sealing CT 18s,CT tidak balance diproses lock right dengan wrapplastic-1 operator proses lock right IC ,TTI,put doll to IC,lock left side of IC CT 30s
1 operator proses take and put toy to plastic wrap,cut plastik warna,masukin to oven CT 20s,Layoutan terblok -Ruang gerak operator susah pada saat ingin mengambil material dan kondisi yg tak diinginkan  "
Improve Productivity Member Perpustakaan PTMI,"Kurangnya promosi dan event perpustakaan bagi karyawan PTMI
","Tidak semua member memiliki email, sehingga informasi terkait perpustakaan kurang efektif,Belum adanya event / Kegiatan yang diadakan oleh perpustakaan
,Kurang terinformasikan buku-buku baru yang ada diperpustakaan
,Kurang terinformasikan buku-buku yang popular disetiap bulannya
,Tidak adanya survey untuk  mengetahui minat membaca buku bagi pekerja PTMI","Informasi terkait perpustakaan tidak tersampaikan 100%
,Belum adanya event / Kegiatan yang diadakan oleh perpustakaan
,Kurang terinformasikan buku-buku baru yang ada diperpustakaan
,Buku – buku yang sedang popular tidak diketahui oleh karyawan PTMI,Tidak adanya survey untuk  mengetahui minat membaca buku bagi pekerja PTMI"
FAR - KAIZEN QUALITY & PRODUCTIFITY IMPROVEMENT TOY HPB15-7309,"DSA minus toy HPB 15 , productifity tidak dapat karena banyak reject",CT tidak dapat dan banyak riject,"Kabel menjuntai di MC 241-Karena habis di PM dan kondisi kabel belum rapi ,toy HNF77-7309 output hanya 15ea/jam yg seharusnya 23ea/jam karena banyak yg unlock 15ea -Karena tarikan benang terlalu kencang dan perpindahan benang speednya terlalu cepat,Toy HPB 15 -7309 MC 284 gulung terus  output keluar 15 ea/jam yang seharusnya 30ea/jam CT 120 Karena MC masih menggunakan cutter far dan cutter nya tumpul kurang motong Alur benang juga terlalu seret sehingga selalu gulung stiap pergantian benang ,MC 284 HPB 15-7309 selalu unlock 10ea/jam ,sementara target /jam nya 30 ea dengan CT120 Karena posisi Looper terlalu jauh dengan jarum dan tusukan jarum juga kurang panjang,Toy HNF 74 quantity 20ea/box banyak yg rambutnya keluar dan gak rapi potensi dirty-Karena penyusunan R/H kurang rapi saat dari HF dan setelah metal "
Eliminate Underprint Eliminate Underprint Acne 11019-81801 Painted Head Tampo GCK85 Stacie,Down time occur during running GCK85 Stacey due to underprint acne,OEE Down Time Problem Colour,NULL
PO - Kaizen New Line di toy GHV89,New line,"Ada beberapa tidak balance, ct lebih tinggi dari TT","Ct tdk balance di proses psg R/B dan tag head - * proses creasing insert +psg r/b 2 pcs + psg holder ct :13'
* proses tag head ct:7' ,Ct tdk balance di proses join head dan proses rapiin rambut - * proses join head ct:7
* proses rapiin rambut + full back ct:12,Ct tdk balance di proses psg costum toddler dan proses join toddler - * proses psg costum + shoes toddler ct:13
* proses taruh ph toddler ke oven+ join head ct:7,Ct tdk balance di proses psg toddler dan proses buka polybag - * proses psg toddler dan psg waist strap toddler dan lock insert dgn 2 opt ct:23 dan 25
* proses buka polybag + TTI 1 ct 6,Improper position toddler 16/316 = 50.632 ppm - Opt proses psg waist strap toddler terlalu tarik sehingga waist strap kendor dan mengakibatkan posisi toddler miring"
